product_id,product_code,category,unit_price,is_active
1,P0001,Elektronika,69824,True
2,P0002,Papír-írószer,1179,True
3,P0003,Élelmiszer,962,True
4,P0004,Ital,2782,True
5,P0005,Háztartás,12387,True
6,P0006,Elektronika,53732,True
7,P0007,Ruházat,41564,True
8,P0008,Élelmiszer,3733,True
9,P0009,Ital,2794,True
10,P0010,Háztartás,12088,True
11,P0011,Háztartás,3857,True
12,P0012,Elektronika,52290,True
13,P0013,Élelmiszer,1003,True
14,P0014,Ruházat,24614,True
15,P0015,Ruházat,46093,True
16,P0016,Ital,2764,True
17,P0017,Ital,771,True
18,P0018,Ruházat,37076,True
19,P0019,Élelmiszer,4006,True
20,P0020,Papír-írószer,1567,True
21,P0021,Ital,353,True
22,P0022,Papír-írószer,1265,True
23,P0023,Papír-írószer,950,True
24,P0024,Ital,191,True
25,P0025,Élelmiszer,2534,True
26,P0026,Háztartás,2351,True
27,P0027,Élelmiszer,115,True
28,P0028,Higiénia,5886,True
29,P0029,Ital,2530,True
30,P0030,Elektronika,30278,True
31,P0031,Élelmiszer,2547,True
32,P0032,Élelmiszer,2874,True
33,P0033,Papír-írószer,2041,True
34,P0034,Ital,1488,True
35,P0035,Ital,2847,True
36,P0036,Háztartás,7542,True
37,P0037,Ital,1314,True
38,P0038,Papír-írószer,444,True
39,P0039,Élelmiszer,3090,True
40,P0040,Elektronika,45834,True
41,P0041,Ital,166,True
42,P0042,Papír-írószer,480,True
43,P0043,Háztartás,4913,True
44,P0044,Elektronika,95296,True
45,P0045,Élelmiszer,4499,True
46,P0046,Élelmiszer,4080,True
47,P0047,Háztartás,10002,True
48,P0048,Ital,542,True
49,P0049,Élelmiszer,842,True
50,P0050,Ruházat,10598,True
51,P0051,Higiénia,5725,True
52,P0052,Elektronika,86567,True
53,P0053,Papír-írószer,1866,True
54,P0054,Ital,2804,True
55,P0055,Háztartás,10478,True
56,P0056,Háztartás,11232,True
57,P0057,Higiénia,2664,True
58,P0058,Higiénia,3895,True
59,P0059,Higiénia,6243,True
60,P0060,Ruházat,37983,True
61,P0061,Élelmiszer,4807,True
62,P0062,Ital,2087,True
63,P0063,Elektronika,19468,True
64,P0064,Elektronika,48894,True
65,P0065,Papír-írószer,1433,True
66,P0066,Ruházat,26188,True
67,P0067,Ruházat,12980,True
68,P0068,Ruházat,47836,True
69,P0069,Élelmiszer,268,False
70,P0070,Élelmiszer,141,True
71,P0071,Higiénia,9198,True
72,P0072,Elektronika,86198,True
73,P0073,Papír-írószer,978,True
74,P0074,Ruházat,44981,True
75,P0075,Ital,259,True
76,P0076,Ruházat,2734,True
77,P0077,Elektronika,67635,True
78,P0078,Ital,2008,False
79,P0079,Ital,1478,True
80,P0080,Ruházat,46291,False
81,P0081,Higiénia,1608,True
82,P0082,Elektronika,32754,True
83,P0083,Papír-írószer,678,True
84,P0084,Elektronika,13402,True
85,P0085,Papír-írószer,1274,True
86,P0086,Háztartás,2573,True
87,P0087,Élelmiszer,2343,True
88,P0088,Higiénia,8106,True
89,P0089,Háztartás,10528,True
90,P0090,Elektronika,63414,False
91,P0091,Háztartás,8488,True
92,P0092,Háztartás,8357,True
93,P0093,Háztartás,1708,True
94,P0094,Higiénia,2865,True
95,P0095,Háztartás,14831,True
96,P0096,Papír-írószer,2262,False
97,P0097,Élelmiszer,3972,True
98,P0098,Ruházat,24481,True
99,P0099,Ruházat,5150,True
100,P0100,Elektronika,18014,True
101,P0101,Ital,2366,True
102,P0102,Elektronika,45070,True
103,P0103,Ruházat,16865,True
104,P0104,Elektronika,30463,True
105,P0105,Háztartás,14915,True
106,P0106,Elektronika,48866,True
107,P0107,Higiénia,3845,True
108,P0108,Higiénia,7433,True
109,P0109,Ruházat,8961,True
110,P0110,Háztartás,6871,False
111,P0111,Háztartás,6435,True
112,P0112,Élelmiszer,3658,False
113,P0113,Ital,1479,False
114,P0114,Elektronika,20446,True
115,P0115,Higiénia,3613,True
116,P0116,Ruházat,45174,False
117,P0117,Elektronika,53470,True
118,P0118,Ruházat,32126,True
119,P0119,Elektronika,15239,True
120,P0120,Háztartás,12221,True
121,P0121,Élelmiszer,3861,False
122,P0122,Ital,230,True
123,P0123,Higiénia,1787,True
124,P0124,Higiénia,4479,True
125,P0125,Élelmiszer,1468,True
126,P0126,Ital,1592,True
127,P0127,Ital,1544,True
128,P0128,Higiénia,5543,True
129,P0129,Higiénia,8118,True
130,P0130,Ruházat,44686,True
131,P0131,Ruházat,47763,True
